¿compras_productos_de_dermocosmética?,¿has_comprado_productos_de_dermocosmética_en_fybeca_alguna_vez?,"cuando_piensas_en_fybeca,_¿qué_tan_asociada_la_percibes_con_productos_de_dermocosmética?",¿cuál_de_las_siguientes_palabras_describe_mejor_a_fybeca_en_dermocosmética?,"la_comunicación_de_fybeca_sobre_dermocosmética_(imágenes,_textos,_promociones)_es:","¿sientes_que_la_comunicación_de_fybeca_aborda_problemas_reales_de_la_piel_(acné,_manchas,_sensibilidad,_envejecimiento,_etc.)?",¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_beneficios_claros_del_producto,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_recomendaciones_según_tipo_de_piel,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_antes_y_después_/_resultados,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_consejos_de_expertos,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_promociones_y_descuentos,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_comparación_entre_productos,¿cómo_percibes_los_precios_de_fybeca_en_dermocosmética?,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_totalmente_en_desacuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_en_desacuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_ni_de_acuerdo_ni_en_desacuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_de_acuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_totalmente_de_acuerdo,¿qué_tanto_confías_en_fybeca_como_experta_en_el_cuidado_de_la_piel?,¿crees_que_en_fybeca_puedes_recibir_asesoría_adecuada_para_elegir_productos_dermocosméticos?,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_personal_capacitado,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_recomendaciones_dermatológicas,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_test_de_piel,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_contenido_educativo,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_opiniones_de_otros_clientes,¿qué_debería_mejorar_fybeca_para_que_la_elijas_como_tu_principal_lugar_de_compra_de_dermocosmética?,ciudad:,ciudad
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,En parte,Personal capacitado,nan,Test de piel,nan,nan,Tener mejor precio y personal que le guie que productos comprar,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,Consejos de expertos,Promociones y descuentos,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Promociones,Quito,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,Consejos de expertos,nan,nan,Similares,nan,Producto,nan,"Precio, Calidad",nan,Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,nan,nan,nan,Tener expertos en piel,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,"Precio, Calidad",Producto,nan,Mucho,En parte,nan,nan,nan,Contenido educativo,nan,Que haya una persona específica que te indique paso a paso,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Poco clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,nan,nan,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Atención más clara,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Poco asociada,Moderna,Clara,No he notado su comunicación,nan,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,Comparación entre productos,Más altos,nan,nan,nan,Calidad,"Precio, Producto",Algo,En parte,nan,Recomendaciones dermatológicas,nan,Contenido educativo,nan,Mejorar precios de los mismos productos comparado con otras tiendas especializadas,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,nan,nan,nan,Similares,nan,nan,nan,Precio,"Calidad, Producto",Mucho,En parte,Personal capacitado,nan,nan,nan,nan,El personal que recomienda los productos este más disponible con relación al tiempo.,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Muy clara,En parte,nan,nan,Antes y después / resultados,nan,nan,nan,Similares,"Precio, Calidad, Producto",nan,nan,nan,nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Nada,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más bajos que la competencia,nan,nan,Precio,"Calidad, Producto",nan,Mucho,En parte,Personal capacitado,nan,nan,nan,nan,Personal mejor capacitado,Sangolqui,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,En parte,Beneficios claros del producto,nan,nan,nan,nan,nan,Similares,nan,nan,Precio,"Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Precio y capacitación,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Poco asociada,Confiable,Clara,En parte,nan,nan,nan,nan,Promociones y descuentos,nan,Similares,"Precio, Producto",Calidad,nan,nan,nan,Algo,"Sí, totalmente",nan,nan,Test de piel,nan,nan,Asesoría para comprar el. Producto indicadas,Quito,Quito
Sí,"No, nunca",Muy asociada,Confiable,Clara,En parte,nan,nan,Antes y después / resultados,nan,Promociones y descuentos,Comparación entre productos,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,En parte,nan,Recomendaciones dermatológicas,nan,Contenido educativo,nan,Abodar a cliente cin mejor conocimiento del producto y hacer una comparación con otros productos,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Económica,Clara,"Sí, claramente",nan,nan,Antes y después / resultados,Consejos de expertos,nan,nan,Más bajos que la competencia,"Precio, Calidad, Producto",nan,nan,nan,nan,Mucho,En parte,Personal capacitado,Recomendaciones dermatológicas,nan,nan,nan,Debería dar muestras a nuevas clientas,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Muy clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Más bajos que la competencia,"Precio, Producto",nan,nan,nan,Calidad,Mucho,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,Que recibieran transferencia tanbien,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Moderna,Poco clara,No,Beneficios claros del producto,nan,nan,Consejos de expertos,nan,nan,Similares,nan,nan,nan,Precio,"Calidad, Producto",Poco,No,Personal capacitado,Recomendaciones dermatológicas,nan,nan,nan,"Los productos, el conocimiento del personal y el precio",Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Económica,Muy clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Más bajos que la competencia,nan,nan,nan,"Calidad, Producto",Precio,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Quicentro Sur,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,Comparación entre productos,Más altos,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,Contenido educativo,nan,Tener asesoras,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Muy clara,"Sí, claramente",nan,nan,nan,Consejos de expertos,Promociones y descuentos,nan,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Demostración de los productos,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Experta,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más bajos que la competencia,Producto,nan,Precio,nan,Calidad,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Nada ya fybeca cuenta con dermoconsejeras expertas en asesorar productos según el tipo de piel,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Moderna,Clara,En parte,Beneficios claros del producto,nan,nan,nan,nan,Comparación entre productos,Similares,nan,nan,nan,Precio,"Calidad, Producto",Algo,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Mayor variedad en marcas.,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,nan,nan,Consejos de expertos,Promociones y descuentos,nan,Más altos,nan,nan,Precio,nan,"Calidad, Producto",Mucho,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,Precios,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Más bajos que la competencia,nan,nan,nan,"Precio, Producto",Calidad,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Más sucursales,Quito,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,Beneficios claros del producto,nan,nan,nan,nan,nan,Más altos,nan,"Calidad, Producto",Precio,nan,nan,Algo,En parte,Personal capacitado,nan,nan,nan,nan,"Buena noche, sería muy importante que por ser una empresa muy grande y reconocida tener personal preparado y capacitado para estar pendiente de las clientes cuando se trata de escoger un producto cosmético teniendo una asesoría clara efectiva con la capacidad de manejar personas de todo tipo, ya que su forma de vestir o su situación económica no define la forma en la que pueda tener una atención cordial y adecuada, sin tener estereotipos o clasismos. Muchas gracias.",Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Confiable,Poco clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,nan,nan,Promociones y descuentos,nan,Similares,Calidad,nan,Precio,Producto,nan,Algo,No,Personal capacitado,nan,nan,nan,nan,Asesoría publicidad,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Moderna,Muy clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Obsequiar muestras,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Muy clara,"Sí, claramente",nan,nan,Antes y después / resultados,nan,nan,nan,Similares,nan,nan,nan,Calidad,"Precio, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Nada xq todos los productos q disponen son los indicados para la piel y sobre todo los precios y descuentos.,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,"Precio, Producto",Calidad,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Una mejor asesoría para pieles maduras,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Moderna,Clara,En parte,nan,nan,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,nan,Más altos,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,En parte,nan,nan,Test de piel,nan,nan,Comunicación personalizada,Ambato,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,QUITO,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,nan,nan,nan,Consejos de expertos,nan,nan,Similares,"Precio, Calidad, Producto",nan,nan,nan,nan,Algo,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,Que sea más personalizado es decir que me expliquen que tipo de piel y cuál es el producto que se ajuste a mis necesidades,Quito,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,Consejos de expertos,nan,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Más promociones,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,En parte,Beneficios claros del producto,nan,nan,nan,nan,nan,Más altos,nan,nan,"Precio, Calidad",Producto,nan,Algo,En parte,Personal capacitado,nan,nan,nan,nan,Presentación e información,0201840246,Quito
Sí,"No, nunca",Poco asociada,No la asocio con dermocosmética,No la he visto,No he notado su comunicación,nan,Recomendaciones según tipo de piel,nan,Consejos de expertos,Promociones y descuentos,Comparación entre productos,No lo sé,nan,nan,nan,Precio,"Calidad, Producto",Algo,No lo sé,nan,Recomendaciones dermatológicas,Test de piel,Contenido educativo,Opiniones de otros clientes,Promocionar productos,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Moderna,Poco clara,No,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,nan,Más altos,nan,nan,nan,"Precio, Calidad",Producto,Algo,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Variedad de productos,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito Valle de los chillos,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Similares,"Precio, Producto",nan,nan,nan,Calidad,Mucho,"Sí, totalmente",nan,nan,nan,nan,Opiniones de otros clientes,Promoción,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más altos,nan,nan,nan,Precio,"Calidad, Producto",Algo,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Exhibición,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,En parte,Beneficios claros del producto,nan,nan,Consejos de expertos,nan,Comparación entre productos,Similares,"Calidad, Producto",nan,Precio,nan,nan,Mucho,En parte,Personal capacitado,nan,nan,nan,nan,Mejor asesoría dermatológica y más clara las promociones que realizan,Quito,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Más altos,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,En parte,nan,nan,Test de piel,nan,nan,Precio,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,nan,nan,Promociones y descuentos,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,nan,nan,nan,Está muy bien pero en ciertas sucursales no hay personal en esta área,Quito,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,San lorenzo,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Muy clara,"Sí, claramente",nan,nan,Antes y después / resultados,nan,nan,nan,Más bajos que la competencia,"Precio, Calidad, Producto",nan,nan,nan,nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Abrir más locales,Manabí,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Experta,Clara,En parte,nan,Recomendaciones según tipo de piel,Antes y después / resultados,nan,Promociones y descuentos,nan,Más altos,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,En parte,nan,Recomendaciones dermatológicas,Test de piel,nan,nan,Ampliar ciertos locales para atender la dermocosmética,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,"Mejorar la atención y dejarle de estar en el celular, prohíban su uso, mientras trabajen.",Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Confiable,Clara,"Sí, claramente",Beneficios claros del producto,nan,Antes y después / resultados,nan,Promociones y descuentos,nan,Similares,nan,nan,nan,"Precio, Calidad",Producto,Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Promociones y descuentos,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Básica,Clara,En parte,nan,nan,nan,Consejos de expertos,nan,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,En parte,nan,nan,Test de piel,nan,nan,Nada está muy bien,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,"Precio, Producto",nan,Calidad,nan,Mucho,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,Más información detallada del producto según su piel,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Poco asociada,No la asocio con dermocosmética,Confusa,En parte,nan,nan,nan,nan,Promociones y descuentos,nan,No lo sé,Precio,nan,nan,"Calidad, Producto",nan,Mucho,"Sí, totalmente",nan,nan,Test de piel,nan,nan,Información,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,No,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más bajos que la competencia,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,Opiniones de otros clientes,Mejorarla imposible toda mi vida he comprado en Fybeca porque encuentro todo lo que necesito gracias Fybeca por existir,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,Comparación entre productos,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,Contenido educativo,Opiniones de otros clientes,"Mas videos promocionales de marcas, productos, precios atractivos,regalos,kits de promocionales ,días de dscts en marcas,mini muestras",Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,"Nada que agregar me gusta precio, atención productos",Quito,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,"Precio, Producto",Calidad,Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Que incluyeran test de piel,Sangolqui,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,Comparación entre productos,Más altos,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,En parte,Personal capacitado,Recomendaciones dermatológicas,nan,Contenido educativo,nan,Mejor precio y más variedad de productos,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Que los precios de los productos sean un poco más bajos,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,En parte,nan,nan,Test de piel,nan,nan,Asesorar de acuerdo al tipo de piel y promociones en precios,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Muy clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más altos,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,No lo sé,nan,nan,Test de piel,nan,nan,Que se pueda usar el producto antes de comprarlo,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Moderna,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,Comparación entre productos,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,Contenido educativo,nan,"Precios más competitivos con otros lugares que venden lo mismo, ejemplo Dermasotf sus precios son mucho más económicos y tambien tienen asesoria",Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,Precio,"Calidad, Producto",nan,Algo,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,Ninguna,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,nan,Antes y después / resultados,nan,nan,nan,Similares,"Calidad, Producto",Precio,nan,nan,nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Hacer limpiezas de la cara para conocer más del producto y ver buenos resultados,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Poco asociada,Moderna,Poco clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,Comparación entre productos,Más altos,nan,nan,Precio,Calidad,Producto,Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,Opiniones de otros clientes,Deberían mejorar en este servicio específicamente ya que habemos personas con gran necesidad en nuestra piel y siempre vamos a necesitar la mejor asesoría y el mejor trato yo soy de ir específicamente de un producto pero la única persona que me da conocimiento y no tan profundo es mi dermatóloga por eso uno necesita que en fibeca le dé más detalles. También me gustaría buenos precios que aveces en otros lugares encuentro el mismo producto más económico y la diferencia es de 4 dólares,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,nan,Consejos de expertos,Promociones y descuentos,nan,Más bajos que la competencia,nan,nan,nan,nan,"Precio, Calidad, Producto",Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Personal experto sobre el producto,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,nan,nan,Promociones y descuentos,nan,Más altos,nan,Precio,Producto,nan,Calidad,Mucho,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,Un poco más cómodo los precios de cierto producto,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,nan,Antes y después / resultados,nan,nan,nan,Similares,nan,nan,Precio,"Calidad, Producto",nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Su personal,Manabí,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Manabí,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Económica,Clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Más bajos que la competencia,nan,nan,nan,Calidad,"Precio, Producto",Mucho,No,Personal capacitado,nan,Test de piel,nan,nan,Sus empleados,Quito,Quito
